offset,x,y,z,lat,lon
10000,261763.57,-1553116.8,2715.1392,75.53475576839833,-35.433231089838316
10020,261745.45,-1553108.3,2715.1462,75.5348593407455,-35.43382970237572
10040,261727.34,-1553099.9,2715.1067,75.53496200001281,-35.43442856936948
10060,261709.22,-1553091.5,2715.1774,75.535064672844,-35.435027803679255
10080,261691.1,-1553083.1,2715.1205,75.5351673441315,-35.43562704658324
10100,261672.99,-1553074.6,2715.0637,75.53527089520993,-35.43622533492533
10120,261654.87,-1553066.2,2715.0069,75.53537356341262,-35.43682459504789
10140,261636.76,-1553057.8,2714.9501,75.53547621496956,-35.437423505023744
10160,261618.64,-1553049.4,2714.8974,75.53557888008557,-35.438022782331906
10180,261600.53,-1553040.9,2714.8463,75.5356824250032,-35.43862110519817
10200,261582.41,-1553032.5,2714.7953,75.53578508703413,-35.43922039972535
10220,261564.29,-1553024.1,2714.7442,75.5358877475211,-35.439819702847124
10240,261546.18,-1553015.7,2714.6931,75.53599039136681,-35.44041865580641
10260,261528.06,-1553007.3,2714.6385,75.53609304876673,-35.441017976114324
10280,261509.95,-1552998.8,2714.5792,75.53619658598166,-35.441616342130416
10300,261491.83,-1552990.4,2714.5199,75.53629924029616,-35.442215679657885
10320,261473.72,-1552982.0,2714.4606,75.53640187797299,-35.44281466701025
10340,261455.6,-1552973.6,2714.4013,75.53650452920016,-35.443414021724294
10360,261437.49,-1552965.1,2714.3553,75.53660806025303,-35.44401242226658
10380,261419.37,-1552956.7,2714.3261,75.5367107083945,-35.44461179420061
10400,261401.25,-1552948.3,2714.2968,75.5368133549917,-35.44521117472973
10420,261383.14,-1552939.9,2714.2675,75.53691598495574,-35.44581020506797
10440,261365.02,-1552931.5,2714.2382,75.53701862846526,-35.44640960278421
10460,261346.91,-1552923.0,2714.185,75.53712215181386,-35.44700804647881
10480,261328.79,-1552914.6,2714.1314,75.53722479223731,-35.44760746141557
10500,261310.68,-1552906.2,2714.0778,75.5373274160312,-35.44820652614885
10520,261292.56,-1552897.8,2714.0081,75.53743005336673,-35.44880595827316
10540,261274.44,-1552889.3,2713.9586,75.53753358563527,-35.44940479530122
10560,261256.33,-1552880.9,2713.9092,75.53763620480117,-35.45000388584124
10580,261238.21,-1552872.5,2713.8597,75.53773883750578,-35.4506033437821
10600,261220.1,-1552864.1,2713.8102,75.53784145358532,-35.45120245150369
10620,261201.98,-1552855.6,2713.7568,75.53794497968626,-35.45180132307365
10640,261183.87,-1552847.2,2713.7023,75.53804759268102,-35.452400448010216
10660,261165.75,-1552838.8,2713.6478,75.53815021921065,-35.452999940360684
10680,261147.63,-1552830.4,2713.5932,75.53825284419553,-35.453599441306984
10700,261129.52,-1552822.0,2713.5387,75.53835545255981,-35.454198592018244
10720,261111.4,-1552813.5,2713.4842,75.53845897094952,-35.45479750676015
10740,261093.29,-1552805.1,2713.4299,75.53856157622872,-35.45539667468694
10760,261075.17,-1552796.7,2713.3755,75.5386641950379,-35.45599621004392
10780,261057.06,-1552788.3,2713.3211,75.5387667972301,-35.45659539515326
10800,261038.94,-1552779.8,2713.2668,75.53887030945094,-35.45719434443906
10820,261020.83,-1552771.4,2713.2124,75.53897290855777,-35.45779354676436
10840,261002.71,-1552763.0,2713.1634,75.5390755211907,-35.45839311653289
10860,260984.59,-1552754.6,2713.1144,75.53917813227856,-35.45899269489776
10880,260966.48,-1552746.1,2713.0654,75.53928162326163,-35.45959131987175
10900,260948.36,-1552737.7,2713.0164,75.539384231262,-35.46019091545943
10920,260930.25,-1552729.3,2712.9605,75.53948682265167,-35.46079016077737
10940,260912.13,-1552720.9,2712.8876,75.5395894275626,-35.46138977355487
10960,260894.02,-1552712.5,2712.8147,75.53969201586463,-35.46198903605632
10980,260875.9,-1552704.0,2712.7417,75.53979551420254,-35.462588063062455
11000,260857.78,-1552695.6,2712.7553,75.53989811448037,-35.46318770165991
11020,260839.67,-1552687.2,2712.6397,75.540000698152,-35.46378698997185
11040,260821.55,-1552678.8,2712.5281,75.54010329534006,-35.46438664575966
11060,260803.44,-1552670.3,2712.4884,75.54020677244735,-35.464985348427085
11080,260785.32,-1552661.9,2712.4486,75.54030936654726,-35.4655850214387
11100,260767.21,-1552653.5,2712.4089,75.54041194404456,-35.466184344152175
11120,260749.09,-1552645.1,2712.3691,75.54051453505441,-35.46678403435457
11140,260730.97,-1552636.7,2712.3294,75.54061712451872,-35.46738373315402
11160,260712.86,-1552628.2,2712.2616,75.54072059391561,-35.467982478983444
11180,260694.74,-1552619.8,2712.1755,75.54082318029141,-35.46858219500725
11200,260676.63,-1552611.4,2712.0893,75.54092575006912,-35.46918156071716
11220,260658.51,-1552603.0,2712.0032,75.54102833335452,-35.469781293932286
11240,260640.4,-1552594.5,2711.917,75.54113179658319,-35.47038007429762
11260,260622.28,-1552586.1,2711.8394,75.54123437677981,-35.47097982473753
11280,260604.17,-1552577.7,2711.7783,75.54133694038195,-35.47157922485092
11300,260586.05,-1552569.3,2711.7173,75.5414395174879,-35.472178992482576
11320,260567.93,-1552560.8,2711.6563,75.54154298959463,-35.47277816631512
11340,260549.82,-1552552.4,2711.5952,75.54164554856467,-35.4733775922416
11360,260531.7,-1552544.0,2711.537,75.54174812103562,-35.47397738569614
11380,260513.59,-1552535.6,2711.4818,75.54185067691658,-35.47457682880838
11400,260495.47,-1552527.2,2711.4267,75.5419532462965,-35.475176639455206
11420,260477.36,-1552518.7,2711.3715,75.54205669564372,-35.47577549752292
11440,260459.24,-1552510.3,2711.3092,75.54215926193424,-35.4763753253955
11460,260441.12,-1552501.9,2711.2325,75.54226182667865,-35.476975161866015
11480,260423.01,-1552493.5,2711.1971,75.54236437483758,-35.477574647978464
11500,260404.89,-1552485.0,2711.1599,75.54246783305318,-35.47817389954424
11520,260386.78,-1552476.6,2711.0994,75.54257037812428,-35.47877340287646
11540,260368.66,-1552468.2,2711.0388,75.54267293668755,-35.47937327376609
11560,260350.55,-1552459.8,2710.9782,75.54277547866893,-35.479972794285054
11580,260332.43,-1552451.3,2710.9176,75.5428789307102,-35.480572080403334
11600,260314.31,-1552442.9,2710.857,75.54298148463722,-35.48117197711779
